,City,Title,Company,Location,Description,Salary
115,Atlanta,"Manager, Data & Analytics Modeler - Machine Learning",KPMG,"Atlanta, GA 30338","Leverage a variety of data sources such as social media, news, internal/external documents, images, video, voice, emails, financial data and operational data....",Nothing_found
116,Atlanta,"Financial Analyst II, Research-Piedmont Heart Institute, Atlanta GA.",Piedmont Healthcare,"Atlanta, GA 30318",Works collaboratively with entity department leaders and other Finance departments to develop and deliver management reports and meaningful insights from data...,Nothing_found
117,Atlanta,IRCM - Junior Engineer - EOSL,Georgia Tech Research Institute,"Atlanta, GA 30318",Develop and integrate scripts to allow researchers to gather and analyze critical data from the simulation runs....,Nothing_found
118,Atlanta,Senior Data Scientist / Machine Learning Engineer,PubMatic,"Atlanta, GA 30308 (Old Fourth Ward area)","Working with data scientists, product managers, and software engineers to develop and support the software for new Machine Learning products....",Nothing_found
119,Atlanta,Business Intelligence Analyst - Diversity & Inclusion,McKinsey & Company,"Atlanta, GA 30318",1 - 2 years of relevant professional experience in data analytics demonstrating mastery of real-world data....,Nothing_found
120,Atlanta,Business Intelligence Analyst,Feedzai,"Atlanta, GA","Work together with the data scientists and engineers from our clients. Founded and developed by data scientists and aerospace engineers, Feedzai has one mission...",Nothing_found
121,Atlanta,Product Development Process Improvement Scientis,"Suzanna's Kitchen, Inc.","Peachtree Corners, GA","Data collection and analysis. The Product Development Process Improvement Scientist is focused on new product development, is responsible for research, planning...",Nothing_found
122,Atlanta,Pricing Consultants,Prorize,"Atlanta, GA","Perform data analysis and test the quality of Prorize pricing products. The successful candidates will work closely with clients, pricing scientists, software...",Nothing_found
123,Atlanta,Conjugation Scientist,Caprico Biotechnologies,Nothing_found,"Critical analysis of analytical and process data, and the interpretation of results. We are seeking a result driven, self-motivated individuals to apply for the...",Caprico Biotechnologies
124,Atlanta,Operations Research Scientist - 11754376,Aptonet Inc.,Nothing_found,"You will have direct contact with business partners and you will participate in identifying business requirements, collecting and performing data analysis,...",Aptonet Inc.
125,Dallas,Nothing_found,Nothing_found,Nothing_found,Nothing_found,
126,Dallas,Data Scientist - Fraud Detection,Darwin Recruitment,Nothing_found,"Data Scientist- Dallas, TX. My client is currently looking for a Data Scientist to join their Dallas team. Good understanding of big data application stack,...","Darwin Recruitment


9 reviews"
127,Dallas,Senior Data Scientist,Trinity Industries,Nothing_found,"Technical expertise regarding data models, database design/Development, data mining and other segmentation techniques....","Trinity Industries


666 reviews"
128,Dallas,"Senior Sales Executive, FEA Analytics",Allegro Development,Nothing_found,"In order to achieve this, the SAE Analytics will work closely with FEA Analytics Chief Scientist, Financial Engineers and the Services' department....","Allegro Development


18 reviews"
129,Dallas,Distinguished Network Infrastructure Planning and Analytics,Verizon,"Irving, TX 75038",Lead the creation of new data processes as identified through industry benchmarking and collaboration with Verizon's data scientist community....,Nothing_found
130,Dallas,"Big Data Engineer | Lewisville, TX",Photon,"Plano, TX",Experience working with Data Scientists. Expertise in Data governance and Data Quality. Big Data & Analytics. Experience working with PCI Data is a plus....,Nothing_found
131,Dallas,Core Engineering - Technology Risk - Security Incident Response Team - TMC - Data Scientist,Goldman Sachs,"Dallas, TX 75201 (City Center District area)",Highly motivated self-starter who can provide thought leadership in big data analytics. Collaborate with a global team to continually operate and improve a...,Nothing_found
132,Dallas,Collections,Bodycote,"Dallas, TX 75251 (North Dallas area)","Manual dexterity to perform data entry functions. As the world’s largest provider of thermal processing services, Bodycote employs thousands of highly skilled...",Nothing_found
133,Dallas,Senior Manager Data Engineering,Capital One,"Plano, TX 75086","Collaborate with architects, engineers, data scientists, and analysts to implement enhancements or new applications. Senior Manager Data Engineering....",Nothing_found
134,Dallas,Tech-Telco-Media - Cognitive Machine Learning - Manager,Deloitte,"Dallas, TX 75230 (North Dallas area)",Big Data Technologies. Data strategies and insights; And optimization of data and decision support systems....,Nothing_found
135,Dallas,Staff Scientist/Geologist (LSI/REM Group),Terracon,"Dallas, TX 75247 (Northwest Dallas area)","Performs site visits, field observations and field data collection or assignments. Evaluates moderately complex laboratory and field data and assembles in...",Nothing_found
136,Dallas,Senior Data Architect,Exeter Finance LLC,"Irving, TX","Works closely with key data consumers (report analysts, data scientists etc.). Works closely with Data Stewards, Data Governance and developers to create and...",Nothing_found
137,Dallas,"Operations Research Analyst II, Optimization",Bank of America,"Plano, TX 75024","Strong analytic and data mining skills, 3+ years. At Bank of America, data drives the decision-making process....",Nothing_found
138,Dallas,Research Technician II - IM - Hematology / Oncology,UT Southwestern Medical Center,"Dallas, TX","Assists in collection of data for project reports. Records research data in accordance with prescribed procedures, discussing results with supervisor....",Nothing_found
139,Dallas,Senior Data Architect,Exeter Finance LLC,Nothing_found,"Works closely with key data consumers (report analysts, data scientists etc.). Works closely with Data Stewards, Data Governance and developers to create and...","Exeter Finance LLC


200 reviews"
140,Dallas,Data Scientist,FPT Software,Nothing_found,"Data science working:. Requires an extensive Data Science Education and Experience (7+ years). Experience must include working with Distributed File Systems,...",FPT Software
141,Pittsburgh,Data Scientist,rue21,Nothing_found,"Rue21 is looking for an experienced Data Scientist. Knowledge of BI related principles such as ETL, data modeling, & data warehousing....","rue21


2,059 reviews"
142,Pittsburgh,CADD Designer,"Alliance Consulting, Inc.","Canonsburg, PA","Work with engineers, geologist, and scientists to draft, design, and compile data for permitting, compliance, assessment, and remediation services related to...",Nothing_found
143,Pittsburgh,Senior Software Engineer - Machine Learning,Petuum,"Pittsburgh, PA","Experience leading a team of Machine Learning Engineers, Data Scientists, and Software Engineers. Data Services & Solutions....",Nothing_found
144,Pittsburgh,"Engineering Manager - Core Platforms, Developer Experience",Uber,"Pittsburgh, PA 15201 (Central Lawrenceville area)","From onboard sensing and computation, to wireless telemetry, to bulk data capture and offload, to ingest and transform and indexing and searching, to the...",Nothing_found
145,Pittsburgh,Hands-On Software Development Manager,Oncology Nursing Society,"Pittsburgh, PA 15275","5-7 years of experience in database design (OLTP and/or OLAP), database programming, data warehousing, and stored procedure development and maintenance using...",Nothing_found
146,Pittsburgh,Senior Software Engineer - Autonomy,Neya Systems,"Warrendale, PA","Extensive experience with sensor data processing, environment modeling, and simulation tools. You will also work with a strong team of scientists and engineers...",Nothing_found
147,Pittsburgh,Senior Software Engineer - Autonomy,Neya Systems LLC,"Warrendale, PA 15086","Extensive experience with sensor data processing, environment modeling, and simulation tools. You will also work with a strong team of scientists and engineers...",Nothing_found
148,Pittsburgh,"Splunk Engineer/Architect-Pittsburgh, PA",iSenpai,"Pittsburgh, PA 15201 (Central Lawrenceville area)","This role requires the ability to design, architect and implement Splunk solutions in support of cybersecurity and IT operations analysts and data scientists....",Nothing_found
149,Pittsburgh,Senior Autonomous Vehicle R&D Engineer - Behavior AI,Aptiv,"Pittsburgh, PA 15238","Analyze data to assess and correct performance deficiencies. Work with leading engineers, research scientists, marketers and business development experts, all...",Nothing_found
150,Pittsburgh,Senior Trenchless Geotechnical Engineer,HDR,"Pittsburgh, PA 15222 (Strip District area)","Data management, quality control of geological data, planning, resource forecasting, cost estimating, scheduling and risk management for all geological and...",Nothing_found
151,Pittsburgh,Senior Software Engineer - Artificial Intelligence/Machine Learning,Redhorse Corporation,"Pittsburgh, PA","Understanding of the competitive landscape in enterprise big data and machine learning platforms. 4+ years of relevant engineering work experience (e.g.,...",Nothing_found
152,Pittsburgh,Data Scientist (Tier-1 school education; 3-5+ years US work experience),Confidential Client (Full time),Nothing_found,"Data Science Work:. A fast growing startup is looking for several data scientist that have used classification, time series analysis, regression, association...",Confidential Client (Full time)
153,Pittsburgh,Data Scientist,"CGI Group, Inc.",Nothing_found,"Perform data exploration and data mining. Discover business narratives told by the data and present them to other scientists, business stakeholders, and...","CGI Group, Inc.


2,286 reviews"
154,Pittsburgh,Claims Research Analyst,Paragon Asset Recovery Services,Nothing_found,*Opportunity: * Paragon has an immediate opening for a Research Analyst within our billing department. This position electronically reviews insurance...,"Paragon Asset Recovery Services


3 reviews"
155,Pittsburgh,Data Scientist,PNC Financial Services Group,Nothing_found,"Participates in the data gathering, data processing and data mining of large and complex datasets. May partner with Data Architects, Data Analysts, Data...","PNC Financial Services Group


5,309 reviews"
156,Portland,Associate Market Research Analyst,Cascade Insights,Nothing_found,"*The Deets:   Salary: $45,000 - $50,000 year (DOE) * We strongly prefer candidates that already live in Portland, OR. Who we are: We’re a boutique market...",Cascade Insights
157,Portland,Associate Development Scientist,MolecularMD,Nothing_found,"Drafts project dependent experimental plans.Independently executes experiments according to approved project development or assay validation plans, budgets, and...",MolecularMD
158,Portland,Patient-Centered Research Manager,National Psoriasis Foundation,Nothing_found,"Providing data analysis support for research studies; Providing analysis, reporting and presenting on survey data;...",National Psoriasis Foundation
159,Portland,Accounting Manager,Oregon Health & Science University,"Portland, OR",Ability to be detail-oriented including accuracy with numbers and data entry. A thorough knowledge of GAAP is required for audit preparation and financial data...,Nothing_found
160,Portland,Site Reliability Engineer (SRE) - Portland,Reed Business Information,"Portland, OR",Cirium provides data services and end-to-end data solutions to customers serving the global travel industry....,Nothing_found
161,Portland,Lead Temporary Field Technician - NEON Project - D16 - Washington,Battelle,"Vancouver, WA 98683 (Bella Vista area)","Records data from sample collection; A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the...",Nothing_found
162,Portland,"Performance Test Engineer (Lead, Senior)",i.t.motives,"Portland, OR","From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career....",Nothing_found
163,Portland,"Senior Software Engineer, Geometric Design",Autodesk,"Portland, OR","Our software is used by everyone - from design professionals, engineers and architects to digital scientists, students and hobbyists....",Nothing_found
164,Portland,Tax Manager (create a Tax Department for a well-funded pre-IPO startup),Ampere Computing,"Portland, OR","Like the scientist behind its name, Ampere employees are innovators. The Ampere eMAG family of products delivers the highest memory throughput and lowest TCO...",Nothing_found
165,Portland,Postdoctoral Scholar,Oregon Health & Science University,"Portland, OR",This is why an important part of our mission is the training of young scientists in newer academic disciplines emerging at the Vaccine and Gene Therapy...,Nothing_found
166,Portland,Senior Software Engineer IV - Fortellis Platform (Portland),CDK Global,"Portland, OR 97201 (Homestead area)","From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career....",Nothing_found
167,Portland,"Test / Characterization Engineer, Senior Staff",Ampere Computing,"Portland, OR","Like the scientist behind its name, Ampere employees are innovators. Collect all validation and characterization data across parts, collate collected...",Nothing_found
